time,r,r_dot,theta,theta_dot,is_private
8.199999928474426270e-01,1.052576541900634766e+00,5.779000464826822281e-03,5.157514572143554688e+00,6.284000396728515625e+00,0.000000000000000000e+00
8.299999833106994629e-01,1.052634596824645996e+00,5.876745097339153290e-03,5.220353603363037109e+00,6.283801078796386719e+00,0.000000000000000000e+00
8.399999737739562988e-01,1.052693724632263184e+00,5.921944975852966309e-03,5.283190250396728516e+00,6.283633232116699219e+00,0.000000000000000000e+00
8.499999642372131348e-01,1.052752971649169922e+00,5.912465043365955353e-03,5.346025943756103516e+00,6.283495426177978516e+00,0.000000000000000000e+00
8.599999547004699707e-01,1.052811622619628906e+00,5.846905522048473358e-03,5.408860206604003906e+00,6.283384799957275391e+00,0.000000000000000000e+00
8.700000047683715820e-01,1.052869319915771484e+00,5.724596325308084488e-03,5.471693038940429688e+00,6.283298969268798828e+00,0.000000000000000000e+00
8.799999952316284180e-01,1.052925467491149902e+00,5.545606371015310287e-03,5.534525394439697266e+00,6.283235073089599609e+00,0.000000000000000000e+00
8.899999856948852539e-01,1.052980303764343262e+00,5.310706794261932373e-03,5.597359180450439453e+00,6.283191680908203125e+00,0.000000000000000000e+00
8.999999761581420898e-01,1.053032040596008301e+00,5.021318327635526657e-03,5.660190582275390625e+00,6.283163070678710938e+00,0.000000000000000000e+00
9.099999666213989258e-01,1.053080797195434570e+00,4.679875448346138000e-03,5.723021984100341797e+00,6.283147335052490234e+00,0.000000000000000000e+00
9.199999570846557617e-01,1.053125619888305664e+00,4.289415664970874786e-03,5.785853862762451172e+00,6.283142089843750000e+00,0.000000000000000000e+00
9.300000071525573730e-01,1.053166389465332031e+00,3.853533184155821800e-03,5.848685264587402344e+00,6.283143520355224609e+00,0.000000000000000000e+00
9.399999976158142090e-01,1.053202748298645020e+00,3.376390784978866577e-03,5.911516666412353516e+00,6.283149719238281250e+00,0.000000000000000000e+00
9.499999880790710449e-01,1.053234100341796875e+00,2.862704452127218246e-03,5.974349498748779297e+00,6.283159255981445312e+00,0.000000000000000000e+00
9.599999785423278809e-01,1.053260087966918945e+00,2.317751292139291763e-03,6.037181377410888672e+00,6.283168315887451172e+00,0.000000000000000000e+00
9.699999690055847168e-01,1.053280711174011230e+00,1.747370464727282524e-03,6.100013732910156250e+00,6.283176898956298828e+00,0.000000000000000000e+00
9.799999594688415527e-01,1.053295493125915527e+00,1.157958526164293289e-03,6.162847995758056641e+00,6.283183097839355469e+00,0.000000000000000000e+00
9.899999499320983887e-01,1.053303003311157227e+00,5.559387500397861004e-04,6.225675106048583984e+00,6.283196926116943359e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.053305506706237793e+00,-5.230107490206137300e-05,6.288506984710693359e+00,6.283198833465576172e+00,1.000000000000000000e+00
1.009999990463256836e+00,1.053301811218261719e+00,-6.597685860469937325e-04,6.351338863372802734e+00,6.283197402954101562e+00,1.000000000000000000e+00
1.019999980926513672e+00,1.053292155265808105e+00,-1.259739743545651436e-03,6.414171218872070312e+00,6.283191680908203125e+00,1.000000000000000000e+00
1.029999971389770508e+00,1.053276658058166504e+00,-1.845749909989535809e-03,6.477003574371337891e+00,6.283183097839355469e+00,1.000000000000000000e+00
1.039999961853027344e+00,1.053255558013916016e+00,-2.411599736660718918e-03,6.539835929870605469e+00,6.283172130584716797e+00,1.000000000000000000e+00
1.049999952316284180e+00,1.053228735923767090e+00,-2.951351692900061607e-03,6.602669239044189453e+00,6.283160209655761719e+00,1.000000000000000000e+00
1.059999942779541016e+00,1.053196668624877930e+00,-3.459334839135408401e-03,6.665503025054931641e+00,6.283150196075439453e+00,1.000000000000000000e+00
1.069999933242797852e+00,1.053159713745117188e+00,-3.930143080651760101e-03,6.728329181671142578e+00,6.283143043518066406e+00,1.000000000000000000e+00
1.079999923706054688e+00,1.053118228912353516e+00,-4.359030164778232574e-03,6.791160583496093750e+00,6.283141613006591797e+00,1.000000000000000000e+00
1.090000033378601074e+00,1.053072571754455566e+00,-4.741796292364597321e-03,6.853992938995361328e+00,6.283148765563964844e+00,1.000000000000000000e+00
1.100000023841857910e+00,1.053023576736450195e+00,-5.074781365692615509e-03,6.916824817657470703e+00,6.283166885375976562e+00,1.000000000000000000e+00
